ID	Country	ISO	Admin	Code	Region	Category	Measure	Pop. Targeted	Comments	Non-compliance	Date	Source	Source Type
3601	Chad	TCD			Africa	Movement restrictions	Checkpoints within the country	No	Sanitary checkpoints throughout the country.	Not applicable	19/03/2020	Government — Chad	Government
3602	Chad	TCD			Africa	Social distancing	Limit public gatherings	No	All restaurant, bars and non-food shops are closed.	Not applicable	23/03/2020	Government — Chad	Government
3603	Chad	TCD			Africa	Social distancing	Limit public gatherings	No	Measure to instaure social distancing for banking activities.	Not applicable	20/03/2020	Government — Chad	Government
3604	Chad	TCD			Africa	Movement restrictions	Domestic travel restrictions	No	Minibus and bus transports are forbidden. Only 4 people per car, 1 per motorbike.	Not available	21/03/2020	Government — Chad	Government
3605	Chad	TCD			Africa	Social distancing	Limit public gatherings	No	Religious centers and mosques are closed. 	Not available	20/03/2020	Government — Chad	Government
44	Chile	CHL			Americas	Public health measures	Introduction of quarantine policies	Yes	Passengers from Spain or Italy	Not applicable	10/03/2020	Ministry of Foreign Affairs - France	Government
1037	Chile	CHL			Americas	Social and economic measures	State of emergency declared	No	90-days State of emergency declared	Not applicable	19/03/2020	US Embassy	Government
1038	Chile	CHL			Americas	Social and economic measures	Military deployment	No	Chilean armed forces are present at ports of entry to ensure compliance with the restrictions.	Not applicable	19/03/2020	US Embassy	Government
1039	Chile	CHL			Americas	Movement restrictions	Border closure 	No	Borders closed for entry for a minimum of 14 days. Chilean citizens and permanent residents are exempted. Exit still permitted.	Not applicable	18/03/2020	US Embassy	Government
1040	Chile	CHL			Americas	Movement restrictions	Border closure 	No	Cruises not allowed to dock at Chilean ports.	Not applicable	15/03/2020	US Embassy	Government
1041	Chile	CHL			Americas	Movement restrictions	Additional health/documents requirements upon arrival	No	Any  international travelers admitted to Chile (on an exceptional basis) should submit a sworn declaration listing the countries they have visited in the past 30 days. Any travelers who have visited any “affected country” within the past 30 days will be screened for signs of the virus.	Not applicable	10/03/2020	Health Ministry — Chile	Government
1042	Chile	CHL			Americas	Public health measures	Introduction of quarantine policies	Yes	Quarantine of 14 days for Easter Island.  	Not applicable	19/03/2020	Health Ministry — Chile	Government
2571	Chile	CHL			Americas	Social and economic measures	State of emergency declared	No	90-day ‘National State of Catastrophe’	Not applicable	18/03/2020	Foreign Ministry — UK	Government
2572	Chile	CHL			Americas	Movement restrictions	Curfews	No	 Nationwide curfew between the hours of 2200 and 0500 until further notice.	Not available	22/03/2020	Foreign Ministry — UK	Government
2573	Chile	CHL	Puerto Williams, Chiloe Island, Chillian,  San Pedro de la Paz, Easter Island		Americas	Public health measures	Introduction of quarantine policies	Yes	Quarantine around the town of Puerto Williams, ‘sanitary cordon’ around the town of Chillan and San Pedro de la Paz, tightening of sanitary regulations for the whole of Chiloe Island and quarantine around Easter Island	Not available	23/03/2020	Foreign Ministry — UK	Government
2574	Chile	CHL			Americas	Public health measures	Introduction of quarantine policies	Yes	People aged 80+ should remain at home under quarantine.	Not available	24/03/2020	Government — Chile	Government
2575	Chile	CHL			Americas	Social distancing	Schools closure 	Yes	All pre-schools and schools, until 30th of March.	Not available	21/03/2020	Government — Chile	Government
2576	Chile	CHL			Americas	Social distancing	Limit public gatherings	No	Public gathering of more than 50 people are prohibited. 	Not available	21/03/2020	Government — Chile	Government
2577	Chile	CHL			Americas	Social distancing	Limit public gatherings	No	Bars, restaurants, clubs, cinema, theatres and cultural centres are closed. 	Not available	21/03/2020	Government — Chile	Government
2578	Chile	CHL			Americas	Social distancing	Limit public gatherings	No	All sport, cultural and professional events are cancelled.	Not available	21/03/2020	Government — Chile	Government
2579	Chile	CHL			Americas	Movement restrictions	Domestic travel restrictions	No	Chileans must not travel to any secondary home they may have.	Not available	24/03/2020	Government — Chile	Government
178	China	CHN			Asia	Social distancing	Schools closure 	Yes	SCFN's (schools for the children of foreign nationals) were due to return on 3rd  February and Private and Public Schools on 10th February. Online learning has  replaced school based teaching. For Chinese private and public schools online  learning was implemented from March 2nd, albeit many private schools have been  facilitating online learning since 10th February. There is as yet no date for their return.  School leaders in Shanghai have been told that they will be given plenty of notice (they take this to mean at least three weeks notice) prior to opening. Some schools have received letters or petitions from parents requesting a reduction in fees and a commitment to catch up with extra lessons delivered during the school holidays. School staff, parents and pupils returning to Shanghai from anywhere in the world have been asked to self-isolate for 14 days. School staff, parents and pupils returning to Shanghai from Japan, Korea, South, Italy and Iran may be placed in quarantine for 14 days	Not applicable		iscresearch	Other
179	China	CHN			Asia	Social distancing	Public services closure 	No		Not applicable			
180	China	CHN			Asia	Public health measures	Introduction of quarantine policies	Yes	all people with symptoms and in some regions the whole population	Not applicable		Ministry of Health	Government
181	China	CHN			Asia	Social distancing	Limit public gatherings	No	all provincial-level regions on the Chinese mainland	Not applicable	29/01/2020	Ministry of Health	Government
182	China	CHN			Asia	Social and economic measures	Economic measures	Yes	people with low income levels	Not applicable	14/03/2020	Ministry of Health	Government
183	China	CHN			Asia	Public health measures	Awareness campaigns	No		Not applicable			
184	China	CHN			Asia	Public health measures	Health screenings in airports and border crossings	Yes	International flighes	Not applicable	22/01/2020	Ministry of health	Government
185	China	CHN			Asia	Social and economic measures	Emergency administrative structures activated or established	No		Not applicable			
186	China	CHN	Wuhan		Asia	Movement restrictions	Domestic travel restrictions	No		Not applicable	27/01/2020	Ministry of Health	Government
187	China	CHN			Asia	Public health measures	Strengthening the public health system	No	Two hospitals, namely Huoshenshan and Leishenshan, were built in Wuhan from scratch in days, with a capacity of 1,000 and 1,600 beds respectively, for treating COVID-19 patients. Some public venues were converted into temporary hospitals. China has sent 42,600 healthcare professionals to help battle COVID-19 in Hubei province, and among them, 19,000 specialize in intensive care, according to figures unveiled by health authorities.	Not applicable		Ministry of Health	Government
188	China	CHN			Asia	Social and economic measures	State of emergency declared	No		Not applicable	20/01/2020	Novinite	Media
189	China	CHN			Asia	Lockdown	Partial lockdown	No	In many regions	Not applicable		Ministry of health	Government
190	China	CHN			Asia	Movement restrictions	Additional health/documents requirements upon arrival	No	everyone arriving from abroad	Not applicable		French Embassy	Government
201	China	CHN			Asia	Public health measures	Psychological assistance and medical social work	Yes	Patients, health personnel and people in quarantine	Not applicable	13/03/2020	Ministry of Health	Government
773	China	CHN	Hong Kong		Asia	Public health measures	Introduction of quarantine policies	Yes	all arriving travelers have to quarantine for 14 days, arrivals from China, Macau and Taiwan are exempt from this		19/03/2020	HongKongFP	Media
779	China	CHN	Shanghai		Asia	Public health measures	Health screenings in airports and border crossings	Yes	intensified health screening for travelers arriving from Korea, South, Japan, Italy, Iran, France, Spain, Germany, the United States, UK, Sweden, Netherlands, Denmark, Switzerland, Austria, Belgium and Norway. This also applies to travelers having been to these countries in the past 14 days prior to entry: will have to undergo health screening in designated observation sites			Shanghai Daily	Media
780	China	CHN	Shanghai		Asia	Public health measures	Introduction of quarantine policies	Yes	stricter quarantine rules for travelers arriving from Korea, South, Japan, Italy, Iran, France, Spain, Germany, the United States, UK, Sweden, Netherlands, Denmark, Switzerland, Austria, Belgium and Norway (also applies to travelers having been to these countries in the past 14 days prior to entry): will have to undergo 14 day quarantine in designated observation sites if tested positively and are requested to quarantine also in case of a negative test			Shanghai Daily	Media
1211	China	CHN			Asia	Public health measures	Strengthening the public health system	No	Construction of first makeshift hospital. First patients admitted February 5. 		03/02/2020	NHC of the PRC	Government
1212	China	CHN			Asia	Public health measures	Strengthening the public health system	No	10 new makeshift hospital opened. 5,600 patients admitted. 		13/02/2020	NHC of the PRC	Government
1213	China	CHN			Asia	Public health measures	Strengthening the public health system	No	16 makeshift hospitals total. 13,000 beds available. 		27/02/2020	NHC of the PRC	Government
1214	China	CHN	Beijing		Asia	Public health measures	Introduction of quarantine policies	Yes	All international arrivals in Beijing will be required to be isolated at designated facilities even if they do not have coronavirus symptoms, starting March 16. “The D-zone, in Terminal 3, will provide services such travelers need as well as the required procedures, including health examinations, identification checks and transfers.”		16/03/2020	NHC of the PRC	Government
1215	China	CHN			Asia	Public health measures	Psychological assistance and medical social work	Yes	China implemented “measures to care for, protect and aid children left unattended after the virus outbreak. These measures cover children whose parents or other guardians are identified as confirmed or suspected cases of the COVID-19 or need to be quarantined for observation… Children in need should also have access to temporary financial aid, psychological counseling and remote schooling services, among others.”		16/03/2020	NHC of the PRC	Government
1216	China	CHN			Asia	Public health measures	General recommendations	No	“residents on the mainland not travel abroad amid the novel coronavirus disease (COVID-19) outbreak, particularly to countries hit hard by the pandemic.”		16/03/2020	NHC of the PRC	Government
1217	China	CHN	Beijing		Asia	Public health measures	Introduction of quarantine policies	Yes	Starting on March 16, all travelers entering Beijing from overseas were required to be quarantined at designated sites for 14 days. Only people with special circumstances that pass rigorous assessment can be granted self-quarantine at home. “People who are older than 70, minors and pregnant women can apply to do the quarantine at their own homes” < http://en.nhc.gov.cn/2020-03/17/c_77840.htm >		16/03/2020	NHC of the PRC	Government
1218	China	CHN	Shanghai		Asia	Public health measures	Introduction of quarantine policies	Yes	Shanghai extends quarantine to inbound travelers from 16 countries: Korea, South, Italy, Iran, Japan, France, Spain, Germany, the United States, the United Kingdom, Switzerland, Sweden, Belgium, Norway, the Netherlands, Denmark and Austria.		17/03/2020	NHC of the PRC	Government
1219	China	CHN	Wuhan		Asia	Public health measures	Introduction of quarantine policies	Yes	People coming to Wuhan from outside the Chinese mainland will, starting from March 17, be quarantined for 14 days at designated places at their own expense.		17/03/2020	NHC of the PRC	Government
1220	China	CHN	Chongquing 		Asia	Public health measures	Introduction of quarantine policies	Yes	All people coming to Chongqing Municipality from overseas are subject to temperature screening and nucleic acid testing starting from March 17. People who have normal results but are from countries with severe epidemic situations will be quarantined at designated places for 14 days at their own expense while the rest are subject to a 14-day home quarantine.		17/03/2020	NHC of the PRC	Government
1221	China	CHN	Shandong		Asia	Public health measures	Introduction of quarantine policies	Yes	All people traveling to Shandong from abroad should be quarantined in designated places or at home for 14 days. The rule applies to all inbound travelers, regardless of their nationalities.		18/03/2020	NHC of the PRC	Government
1222	China	CHN	Beijing 		Asia	Public health measures	Introduction of quarantine policies	Yes	Beijing municipality has required people arriving in the city from other countries to undergo a self-paid 14-day concentrated medical observation from on March 18		18/03/2020	NHC of the PRC	Government
1223	China	CHN			Asia	Public health measures	General recommendations	Yes	Chinese students abroad should suspend their trips back to China, if not necessary. If they do go, choose non-stop flights. 		18/03/2020	NHC of the PRC	Government
1224	China	CHN			Asia	Public health measures	General recommendations	No	Wearing masks in the right way can prevent the infection of respiratory diseases such as COVID-19 and influenza 		19/03/2020	NHC of the PRC	Government
1225	China	CHN	Beijing		Asia	Public health measures	Introduction of quarantine policies	Yes	From March 19, all travelers from overseas have to be put under quarantine in designated places for 14 days when they arrive in Beijing.		19/03/2020	NHC of the PRC	Government
1226	China	CHN	Shanghai		Asia	Public health measures	Introduction of quarantine policies	Yes	Shanghai extends quarantine to inbound travelers from 8 new countries. The list includes Korea, South, Italy, Iran, Japan, France, Spain, Germany, the US, the UK, Switzerland, Sweden, Belgium, Norway, the Netherlands, Denmark, Austria, Australia, Malaysia, Greece, Czech Republic, Finland, Qatar, Canada and Saudi Arabia.		19/03/2020	NHC of the PRC	Government
1227	China	CHN			Asia	Public health measures	Psychological assistance and medical social work	No	China has released an official work plan on March 19 to address psychological counseling for those affected by COVID-19, including patients, their families, families of fallen patients, vulnerable groups, health workers and those fighting the virus in the front line including police officers and community workers.		19/03/2020	NHC of the PRC	Government
1228	China	CHN	Shanghai		Asia	Public health measures	Health screenings in airports and border crossings	Yes	Shanghai has assigned additional medical staff to support the screening procedures at customs checkpoints.		19/03/2020	NHC of the PRC	Government
61	Colombia	COL			Americas	Social and economic measures	State of emergency declared	No		Not applicable	12/03/2020	Ministry of Foreing Affairs - Italy	Government
62	Colombia	COL			Americas	Public health measures	Introduction of quarantine policies	Yes	Quarantine for 14 days to travellers from Italy, France, Spain and China.	Not applicable	12/03/2020	Ministry of Foreing Affairs - Italy	Government
64	Colombia	COL			Americas	Movement restrictions	Additional health/documents requirements upon arrival	Yes	People from France, Spain, Italy, Germany, Singappor, Korea, South, Iran, China. Madndarory healt insurance, and additional rules for the first 14 days in the country.	Not applicable	12/03/2020	Ministry of Foreing Affairs - Italy	Government
754	Colombia	COL			Americas	Social distancing	Schools closure 	No	Schools will suspend classes from 16 March to 20 April	Not applicable	16/03/2020	US Embassy	Government
755	Colombia	COL			Americas	Movement restrictions	Visa restrictions	Yes	Starting 16 March, non-nationals and non-residents will be banned from entering	Refusal to enter the country	16/03/2020	US Embassy	Government
756	Colombia	COL			Americas	Public health measures	Introduction of quarantine policies	No	all travelers arriving must self-quarantine for 14 days	Not applicable	16/03/2020	US Embassy	Government
757	Colombia	COL			Americas	Movement restrictions	Additional health/documents requirements upon arrival	No	all travelers arriving must complete a questionnaire declaring contact and arrival information	Not applicable	16/03/2020	US Embassy	Government
758	Colombia	COL			Americas	Social and economic measures	State of emergency declared	No	goverment declared health emergency	Not applicable	12/03/2020	Reuters	Media
760	Colombia	COL			Americas	Movement restrictions	Border closure 	No	border with Venezuela closed	Not applicable	14/03/2020	Reuters	Media
761	Colombia	COL			Americas	Movement restrictions	Border closure 	No	all borders closed until 30 May i.e. in addition to border with Venezuela also those with Panama, Ecuador, Peru and Brazil incl. maritime entry points	Not applicable	16/03/2020	ColombiaReports	Media
769	Colombia	COL	Cordoba, Meta, Santander		Americas	Lockdown	Partial lockdown	No	nightly curfew as of 16 March from 7pm until 6am in Córdoba, Meta and Santander Departments	Not available	16/03/2020	ElTiempo	Media
1043	Colombia	COL			Americas	Movement restrictions	International flights suspension	No	All international air arrivals will be suspended for a period of 30 days, transit included. 	Not applicable	23/03/2020	US Embassy	Government
1044	Colombia	COL			Americas	Public health measures	Introduction of quarantine policies	Yes	Until 30th of may, every person aged above 70 should self-isolate. 	Not applicable	20/03/2020	Health Ministry — Colombia	Government
1114	Colombia	COL			Americas	Social distancing	Limit public gatherings	No	Public and private events restricted to 50 people maximum.	Not applicable	20/03/2020	Health Ministry — Colombia	Government
2580	Colombia	COL			Americas	Lockdown	Partial lockdown	No	National forced quarantine and confinment. 	Not available	24/03/2020	Government — Colombia	Government
2581	Colombia	COL			Americas	Movement restrictions	Domestic travel restrictions	No	All domestic flight, as well as inter-provincial and municipal public transports are suspended. Urban public transport limited to 20% of full capacity.	Not available	24/03/2020	Government — Colombia	Government
212	Comoros	COM			Africa	Movement restrictions	International flights suspension	Yes	Fligts from China, Italy, Korea, South, or Iran	Not applicable	10/03/2020	US Embassy	Government
217	Comoros	COM			Africa	Public health measures	Introduction of quarantine policies	Yes	International passengers with symptoms	Not applicable	10/03/2020	US Embassy	Government
1115	Comoros	COM			Africa	Movement restrictions	Visa restrictions	Yes	Anybody coming from a country with more than 10 confirmed COVID-19 cases. 	Not applicable	19/03/2020	Ministry of Foreign Affairs — France	Government
1116	Comoros	COM			Africa	Movement restrictions	Border checks 	Yes	Travelers from counties with confirmed cases of COVID-19 are required to have spent a period of 14 days in quarantine in a country that is free from COVID-19.	Not applicable	19/03/2020	US Embassy	Government
2684	Comoros	COM			Africa	Movement restrictions	International flights suspension	No	All international commercial flights, with the exception of cargo flights, are suspended until further notice.	Not applicable	23/03/2020	US Embassy	Government
2685	Comoros	COM			Africa	Social distancing	Limit public gatherings	No	Friday and collective prayers in mosques are prohibited. All mosques throughout the country will remain closed until the health situation is resolved.	Not applicable	25/03/2020	US Embassy	Government
2686	Comoros	COM			Africa	Social distancing	Limit public gatherings	No	All public festivities (ie, weddings) and gatherings (election campaigns, rallies, concerts, entertainment, etc) are suspended until further notice.	Not applicable	16/03/2020	US Embassy	Government
2687	Comoros	COM			Africa	Social distancing	Changes in prison-related policies	No	Only family members, relatives of the deceased, and residents of the villages concerned, may attend funerals.	Not applicable	16/03/2020	US Embassy	Government
2688	Comoros	COM			Africa	Social and economic measures	Emergency administrative structures activated or established	No	Scientific Committee has been set up to lead the fight against COVID-19.	Not applicable	16/03/2020	US Embassy	Government
2689	Comoros	COM			Africa	Movement restrictions	Domestic travel restrictions	No	Sea travel between  islands is suspended until further notice. Bus travel are strictly regulated.	Not applicable	20/03/2020	US Embassy	Government
2690	Comoros	COM			Africa	Social distancing	Limit public gatherings	No	All sporting events will be played behind closed doors in all sports arenas.	Not applicable	20/03/2020	US Embassy	Government
205	Congo	COG			Africa	Public health measures	Introduction of quarantine policies	Yes	14day quarantine for high risk countries including mainland China, Korea, South, Iran, Italy. Also for travelers with COVID-19 symptoms.	Not applicable	09/03/2020	French Embassy	Government
1117	Congo	COG			Africa	Social distancing	Schools closure 	No	For 30 days	Not applicable	19/03/2020	Health Ministry — Congo	Government
1118	Congo	COG			Africa	Social distancing	Limit public gatherings	No	Closing of religious centers, restaurants, bars and club for 30 days.	Not applicable	19/03/2020	Health Ministry — Congo	Government
1119	Congo	COG			Africa	Social distancing	Limit public gatherings	No	Gathering of more than 50 people are forbidden for 30 days.	Not applicable	19/03/2020	Health Ministry — Congo	Government
1120	Congo	COG			Africa	Public health measures	Awareness campaigns	No		Not applicable	20/03/2020	Health Ministry — Congo	Government
1121	Congo	COG			Africa	Public health measures	Health screenings in airports and border crossings	No	Body temperature checks at both international airports and at the Brazzaville Beach landing.	Not applicable	15/03/2020	US Embassy of Brazil 	Government
2691	Congo	COG			Africa	Movement restrictions	Border closure 	No	All borders are closed untile further notice, with exception of trade transportation.	Not applicable	21/03/2020	Government — Congo	Government
2702	Congo	COG			Africa	Public health measures	Strengthening the public health system	No	A number of health structures are being requisitioned by the government.	Not applicable	21/03/2020	Government — Congo	Government
191	Congo DR	COD			Africa	Public health measures	Introduction of quarantine policies	Yes	14day quarantine for high risk countries including mainland China, Korea, South, Iran, Italy. Also for travelers with COVID-19 symptoms.	Not applicable	10/03/2020	US Embassy	Government
204	Congo DR	COD			Africa	Public health measures	Health screenings in airports and border crossings	No	Health screenings at airports for COVID-19 symptoms, travelers with symptoms have to quarantine for 14 days	Not applicable	10/03/2020	US Embassy	Government
1126	Congo DR	COD			Africa	Movement restrictions	International flights suspension	Yes	 All international passenger flights until at least April 3.  Only cargo flights and boats will be permitted entry.	Not applicable	20/03/2020	Ministry of Foreign Affairs — France	Government
1127	Congo DR	COD			Africa	Social distancing	Schools closure 	No	Until April 17	Not applicable	18/03/2020	US Embassy	Government
1128	Congo DR	COD			Africa	Social distancing	Limit public gatherings	No	Gathering of more than 20 people are banned. 	Not applicable	18/03/2020	US Embassy	Government
1129	Congo DR	COD			Africa	Public health measures	Introduction of quarantine policies	No	All travelers entering the DRC who have a fever will be tested, and any persons positive for COVID-19 will be hospitalized at DRC government expense. Both categories will be subject to a mandatory 14-day quarantine.  All persons traveling domestically from Kinshasa to other provinces will be subject to preventative screening.	Not applicable	20/03/2020	US Embassy	Government
1130	Congo DR	COD			Africa	Social distancing	Limit public gatherings	No	Bars and restaurants are closed until further notice.	Not applicable	18/03/2020	US Embassy	Government
2703	Congo DR	COD			Africa	Social and economic measures	State of emergency declared	No	National state of emergency	Not applicable	25/03/2020	Ministry of Foreign Affairs — France	Government
2704	Congo DR	COD			Africa	Movement restrictions	Border closure 	No	All borders are closed except trade transportation.	Not applicable	25/03/2020	Ministry of Foreign Affairs — France	Government
2705	Congo DR	COD			Africa	Movement restrictions	Domestic travel restrictions	No	Domestic travels between Kinshasa and the rest of the country are forbidden. Does not apply to trade.	Not applicable	25/03/2020	Ministry of Foreign Affairs — France	Government
2706	Congo DR	COD			Africa	Social distancing	Limit public gatherings	No	Public gathering are not allowed in the streets.	Not applicable	25/03/2020	Ministry of Foreign Affairs — France	Government
2707	Congo DR	COD	Kinshasa		Africa	Lockdown	Partial lockdown	No	All residents of Kinshasa, apart from essential workers such as medical staff, would have to stay at home for four days minimum.	Not applicable	28/03/2020	BBC	Media
99	Costa Rica	CRI			Americas	Public health measures	Introduction of quarantine policies	Yes	Visitors from China, MAY BE subjected to quarantine	Not applicable		Government of the UK	Government
1131	Costa Rica	CRI			Americas	Movement restrictions	Border closure 	Yes	Until at least 12th of april. Residents can enter but will be subject to 14 days quarantine. This restriction applies to land, sea, and air arrivals	Not applicable	18/03/2020	Ministry of Foreign Affairs — France	Government
1158	Costa Rica	CRI			Americas	Public health measures	Introduction of quarantine policies	No	Anyone arriving in Costa Rica from another country must self-quarantine for 14 days.	Not applicable	16/03/2020	US Embassy	Government
1159	Costa Rica	CRI			Americas	Social and economic measures	State of emergency declared	No		Not applicable	16/03/2020	Foreign Ministry — UK	Government
1160	Costa Rica	CRI			Americas	Social distancing	Limit public gatherings	No	Bars, restaurants and clubs closed. 	Not applicable	15/03/2020	Health Ministry  — Costa Rica	Government
1161	Costa Rica	CRI			Americas	Social distancing	Schools closure 	No	All public and private education centres are closed.	Not applicable	16/03/2020	Health Ministry  — Costa Rica	Government
1162	Costa Rica	CRI			Americas	Public health measures	Strengthening the public health system	No	Increase capacity for realising COVID-19 tests.	Not applicable	18/03/2020	Health Ministry  — Costa Rica	Government
2708	Costa Rica	CRI			Americas	Movement restrictions	Visa restrictions	No	 Any legal resident who left Costa Rica on or after 24 March, would automatically lose their current legal migratory status. This would also preclude their re-entry until 12 April	Refusal to enter the country	24/03/2020	Foreign Ministry — UK	Government
2709	Costa Rica	CRI			Americas	Movement restrictions	Domestic travel restrictions	No	Restrictions on the use of vehicles, except those deemed to be essential workers, official vehicles or diplomats between 10pm and 5am. Fines of 22,000 will be imposed on those violating this order.	Fines	23/03/2020	Foreign Ministry — UK	Government
2710	Costa Rica	CRI			Americas	Movement restrictions	International flights suspension	No	All flights from and to Europe are suspended.	Not applicable	30/03/2020	Ministry of Foreign Affairs — France	Government
142	Côte d'Ivoire	CIV			Africa	Public health measures	Health screenings in airports and border crossings	No	All arriving passengers at Abijan airport are checked for fever and asked to wash their hands.	Not applicable	02/01/2020	France24	Media
215	Côte d'Ivoire	CIV			Africa	Public health measures	Introduction of quarantine policies	Yes	quarantine of 14 days for travelers from risk countries (China, Korea, South, Iran, Italy)	Not applicable	12/03/2020	French Embassy	Government
1455	Côte d'Ivoire	CIV			Africa	Movement restrictions	Visa restrictions	Yes	Suspension of all flights to and from countries with more than 100 cases of coronavirus.		19/03/2020	Foreign Ministry — UK	Government
1456	Côte d'Ivoire	CIV			Africa	Movement restrictions	International flights suspension	No	No international flights to and from Côte d’Ivoire until further notice.		22/03/2020	Foreign Ministry — UK	Government
1457	Côte d'Ivoire	CIV			Africa	Movement restrictions	Border closure 	No	Land, air and sea borders closed.		22/03/2020	Ministry of Foreign Affairs — France	Government
1458	Côte d'Ivoire	CIV			Africa	Social distancing	Limit public gatherings	No	Dance clubs, cinemas and theatre closed for at least 15 days.		18/03/2020	Ministry of Foreign Affairs — France	Government
1459	Côte d'Ivoire	CIV			Africa	Social distancing	Limit public gatherings	No	Gathering of more than 50 people are forbidden.		18/03/2020	Ministry of Foreign Affairs — France	Government
1463	Côte d'Ivoire	CIV			Africa	Social distancing	Limit public gatherings	No	Suspension of all international cultural and sport events.	Not applicable	18/03/2020	Ministry of Foreign Affairs — France	Government
1464	Côte d'Ivoire	CIV			Africa	Social distancing	Schools closure 	No	Schools (including pre-schools and universities) are closed for 30 days.	Not applicable	16/03/2020	US Embassy	Government
2711	Côte d'Ivoire	CIV			Africa	Movement restrictions	Curfews	No	National curfew between 2100 and 0500.	Not available	24/03/2020	Ministry of Foreign Affairs — France	Government
2712	Côte d'Ivoire	CIV			Africa	Movement restrictions	Domestic travel restrictions	No	Travels between Abidjan and the other main cities is forbidden excepted for peoplt travelling with a special authorisation.	Not available	26/03/2020	Ministry of Foreign Affairs — France	Government
2713	Côte d'Ivoire	CIV			Africa	Social distancing	Limit public gatherings	No	All restaurants are closed. 	Not applicable	23/03/2020	Ministry of Foreign Affairs — France	Government
3177	Côte d'Ivoire	CIV			Africa	Movement restrictions	Checkpoints within the country	No	Authorities ban all entry into Greater Abidjan to isolate the economic capital.	Not available	30/03/2020	Center for Strategic & International Study	Other organisations
426	Croatia	HRV			Europe	Public health measures	Introduction of quarantine policies	Yes	Forced government quarantine of 14 days for any traveller arriving from China (Hubei), Germany (Heinsburg, NRW), Iran, Italy, and Korea, South (Chendong and Daegu). Health monitoring for other countries. 	Not applicable	12/03/2020	U.S. Embassy in Croatia	Government
429	Croatia	HRV			Europe	Public health measures	General recommendations	Yes	Those over 60 and those with chronic diseases should avoid crowded public places (including taking transport at peak times)	Not applicable	03/03/2020	Government of Croatia	Government
434	Croatia	HRV			Europe	Social distancing	Schools closure 	No	Two week suspension of schools and universities starting 16 March	Not applicable	16/03/2020	Government of Croatia	Government
440	Croatia	HRV			Europe	Public health measures	General recommendations	No	It is recommended that health care institutions and health care professionals postpone the provision of health tourism services (providing health services to persons from outside Croatia, such as dental services, spa services, etc.) to persons coming from the affected areas in the next month to prevent	Not applicable	01/03/2020	Government of Croatia	Government
941	Croatia	HRV			Europe	Movement restrictions	Border closure 	No	Temporary ban of transit through border crossings, excluding cross-border workers, freight carriers, healthcare professionals	Not applicable	19/03/2020	Croatian National Tourist Board	Government
942	Croatia	HRV			Europe	Social and economic measures	Economic measures	No	Freezing prices for essential foods and drugs to level of 30th January 2020	Not applicable	15/03/2020	Total Croatia News	Media
943	Croatia	HRV			Europe	Social and economic measures	Economic measures	No	Establishment of COVID-19 loans to ensure financial liquidity and delays in tax collection or reduction in taxes and fees; complete plan has 63 measures and measures a worth of 350 million HRK	Not applicable	17/03/2020	Ministry of Economics	Government
944	Croatia	HRV			Europe	Public health measures	Introduction of quarantine policies	No	Health inspectors are monitoring compliance with self-isolation orders and can fine up to 120.000 HRK	fines		U.S. Embassy in Croatia	Government
945	Croatia	HRV			Europe	Social distancing	Limit public gatherings	No	Gatherings of more than 5 are banned	Not available	19/03/2020	U.S. Embassy in Croatia	Government
946	Croatia	HRV			Europe	Social distancing	Public services closure 	No	Closing of restaurants, cafes, bars, night clubs, shopping centers, sports and fitness centers, museums, cinemas, theatres, places of worship, hairdressers, beauty parlors and similar services where close human contact can be expected	Not available	19/03/2020	U.S. Embassy in Croatia	Government
947	Croatia	HRV			Europe	Social and economic measures	Emergency administrative structures activated or established	No	The national civil protection agency's powers were extended to respond more appropriately	Not applicable	12/03/2020	Government	Government
948	Croatia	HRV			Europe	Public health measures	Strengthening the public health system	No	The capacities of hospitals across Croatia are increased and the decision made to establish a digital platform ensuring interoperability and coordination across actors to monitor the outbreak	Not applicable	19/03/2020	Government	Government
2924	Croatia	HRV			Europe	Social distancing	Public services closure 	No	All public transport except for taxis has been suspended for 30 days	Not applicable	22/03/2020	U.S. Embassy in Croatia	Government
2925	Croatia	HRV			Europe	Movement restrictions	Domestic travel restrictions	No	Intercity travel and vehicular traffic is suspended, with exceptions for essential workers and reasons	Not applicable	23/03/2020	U.S. Embassy in Croatia	Government
2926	Croatia	HRV			Europe	Movement restrictions	Surveillance and monitoring	No	Health Inspectors of the Croatian State Inspectorate are monitoring and enforcing orders to self-isolate. They are authorized to fine any individual violating this order with fines ranging from 8000 to 120,000 HRK 	fines		U.S. Embassy in Croatia	Government
2927	Croatia	HRV			Europe	Public health measures	Strengthening the public health system	No	Call to all entrepeneurs and businesses to reach out to ministry of health, if they have capacities to produce protection equipment	Not applicable	21/03/2020	Government	Government
2928	Croatia	HRV			Europe	Social and economic measures	Economic measures	Yes	SME's have the chance to defer loan payments and easier access to loans ensured	Not applicable	23/03/2020	Government	Government
2929	Croatia	HRV			Europe	Public health measures	Strengthening the public health system	No	Development of health camp outside of main hospital 	Not applicable	20/03/2020	Government	Government
1465	Cuba	CUB			Americas	Public health measures	Strengthening the public health system	No	Creation of an task-force to oversee the response to Covid-19.  	Not applicable	28/02/2020	MoH	Government
1466	Cuba	CUB			Americas	Public health measures	Awareness campaigns	No		Not applicable	18/02/2020	MoH	Government
